step,hour,day,total_energy,avg_energy
0,0,0,2319.9985547945207,6.236555254823981
1,1,0,2319.9985547945207,6.236555254823981
2,2,0,2319.9985547945207,6.236555254823981
3,3,0,2319.9985547945207,6.236555254823981
4,4,0,2319.9985547945207,6.236555254823981
5,5,0,2319.9985547945207,6.236555254823981
6,6,0,2065.9085547945206,5.553517620415378
7,7,0,2065.9085547945206,5.553517620415378
8,8,0,1819.7985547945207,4.891931598910002
9,9,0,1819.7985547945207,4.891931598910002
10,10,0,1819.7985547945207,4.891931598910002
11,11,0,1819.7985547945207,4.891931598910002
12,12,0,1819.7985547945207,4.891931598910002
13,13,0,1819.7985547945207,4.891931598910002
14,14,0,2073.8885547945206,5.574969233318604
15,15,0,2073.8885547945206,5.574969233318604
16,16,0,2319.9985547945207,6.236555254823981
17,17,0,2319.9985547945207,6.236555254823981
18,18,0,2319.9985547945207,6.236555254823981
19,19,0,2319.9985547945207,6.236555254823981
20,20,0,2319.9985547945207,6.236555254823981
21,21,0,2319.9985547945207,6.236555254823981
22,22,0,2319.9985547945207,6.236555254823981
23,23,0,2319.9985547945207,6.236555254823981
24,0,1,2319.9985547945207,6.236555254823981
25,1,1,2319.9985547945207,6.236555254823981
26,2,1,2319.9985547945207,6.236555254823981
27,3,1,2319.9985547945207,6.236555254823981
28,4,1,2319.9985547945207,6.236555254823981
29,5,1,2319.9985547945207,6.236555254823981
30,6,1,2065.9085547945206,5.553517620415378
31,7,1,2065.9085547945206,5.553517620415378
32,8,1,1819.7985547945207,4.891931598910002
33,9,1,1819.7985547945207,4.891931598910002
34,10,1,1819.7985547945207,4.891931598910002
35,11,1,1819.7985547945207,4.891931598910002
36,12,1,1819.7985547945207,4.891931598910002
37,13,1,1819.7985547945207,4.891931598910002
38,14,1,2073.8885547945206,5.574969233318604
39,15,1,2073.8885547945206,5.574969233318604
40,16,1,2319.9985547945207,6.236555254823981
41,17,1,2319.9985547945207,6.236555254823981
42,18,1,2319.9985547945207,6.236555254823981
43,19,1,2319.9985547945207,6.236555254823981
44,20,1,2319.9985547945207,6.236555254823981
45,21,1,2319.9985547945207,6.236555254823981
46,22,1,2319.9985547945207,6.236555254823981
47,23,1,2319.9985547945207,6.236555254823981
48,0,2,2319.9985547945207,6.236555254823981
49,1,2,2319.9985547945207,6.236555254823981
50,2,2,2319.9985547945207,6.236555254823981
51,3,2,2319.9985547945207,6.236555254823981
52,4,2,2319.9985547945207,6.236555254823981
53,5,2,2319.9985547945207,6.236555254823981
54,6,2,2065.9085547945206,5.553517620415378
55,7,2,2065.9085547945206,5.553517620415378
56,8,2,1819.7985547945207,4.891931598910002
57,9,2,1819.7985547945207,4.891931598910002
58,10,2,1819.7985547945207,4.891931598910002
59,11,2,1819.7985547945207,4.891931598910002
60,12,2,1819.7985547945207,4.891931598910002
61,13,2,1819.7985547945207,4.891931598910002
62,14,2,2073.8885547945206,5.574969233318604
63,15,2,2073.8885547945206,5.574969233318604
64,16,2,2319.9985547945207,6.236555254823981
65,17,2,2319.9985547945207,6.236555254823981
66,18,2,2319.9985547945207,6.236555254823981
67,19,2,2319.9985547945207,6.236555254823981
68,20,2,2319.9985547945207,6.236555254823981
69,21,2,2319.9985547945207,6.236555254823981
70,22,2,2319.9985547945207,6.236555254823981
71,23,2,2319.9985547945207,6.236555254823981
72,0,3,2319.9985547945207,6.236555254823981
73,1,3,2319.9985547945207,6.236555254823981
74,2,3,2319.9985547945207,6.236555254823981
75,3,3,2319.9985547945207,6.236555254823981
76,4,3,2319.9985547945207,6.236555254823981
77,5,3,2319.9985547945207,6.236555254823981
78,6,3,2065.9085547945206,5.553517620415378
79,7,3,2065.9085547945206,5.553517620415378
80,8,3,1819.7985547945207,4.891931598910002
81,9,3,1819.7985547945207,4.891931598910002
82,10,3,1819.7985547945207,4.891931598910002
83,11,3,1819.7985547945207,4.891931598910002
84,12,3,1819.7985547945207,4.891931598910002
85,13,3,1819.7985547945207,4.891931598910002
86,14,3,2073.8885547945206,5.574969233318604
87,15,3,2073.8885547945206,5.574969233318604
88,16,3,2319.9985547945207,6.236555254823981
89,17,3,2319.9985547945207,6.236555254823981
90,18,3,2319.9985547945207,6.236555254823981
91,19,3,2319.9985547945207,6.236555254823981
92,20,3,2319.9985547945207,6.236555254823981
93,21,3,2319.9985547945207,6.236555254823981
94,22,3,2319.9985547945207,6.236555254823981
95,23,3,2319.9985547945207,6.236555254823981
96,0,4,2319.9985547945207,6.236555254823981
97,1,4,2319.9985547945207,6.236555254823981
98,2,4,2319.9985547945207,6.236555254823981
99,3,4,2319.9985547945207,6.236555254823981
100,4,4,2319.9985547945207,6.236555254823981
101,5,4,2319.9985547945207,6.236555254823981
102,6,4,2065.9085547945206,5.553517620415378
103,7,4,2065.9085547945206,5.553517620415378
104,8,4,1819.7985547945207,4.891931598910002
105,9,4,1819.7985547945207,4.891931598910002
106,10,4,1819.7985547945207,4.891931598910002
107,11,4,1819.7985547945207,4.891931598910002
108,12,4,1819.7985547945207,4.891931598910002
109,13,4,1819.7985547945207,4.891931598910002
110,14,4,2073.8885547945206,5.574969233318604
111,15,4,2073.8885547945206,5.574969233318604
112,16,4,2319.9985547945207,6.236555254823981
113,17,4,2319.9985547945207,6.236555254823981
114,18,4,2319.9985547945207,6.236555254823981
115,19,4,2319.9985547945207,6.236555254823981
116,20,4,2319.9985547945207,6.236555254823981
117,21,4,2319.9985547945207,6.236555254823981
118,22,4,2319.9985547945207,6.236555254823981
119,23,4,2319.9985547945207,6.236555254823981
120,0,5,2319.9985547945207,6.236555254823981
121,1,5,2319.9985547945207,6.236555254823981
122,2,5,2319.9985547945207,6.236555254823981
123,3,5,2319.9985547945207,6.236555254823981
124,4,5,2319.9985547945207,6.236555254823981
125,5,5,2319.9985547945207,6.236555254823981
126,6,5,2065.9085547945206,5.553517620415378
127,7,5,2065.9085547945206,5.553517620415378
128,8,5,1819.7985547945207,4.891931598910002
129,9,5,1819.7985547945207,4.891931598910002
130,10,5,1819.7985547945207,4.891931598910002
131,11,5,1819.7985547945207,4.891931598910002
132,12,5,1819.7985547945207,4.891931598910002
133,13,5,1819.7985547945207,4.891931598910002
134,14,5,2073.8885547945206,5.574969233318604
135,15,5,2073.8885547945206,5.574969233318604
136,16,5,2319.9985547945207,6.236555254823981
137,17,5,2319.9985547945207,6.236555254823981
138,18,5,2319.9985547945207,6.236555254823981
139,19,5,2319.9985547945207,6.236555254823981
140,20,5,2319.9985547945207,6.236555254823981
141,21,5,2319.9985547945207,6.236555254823981
142,22,5,2319.9985547945207,6.236555254823981
143,23,5,2319.9985547945207,6.236555254823981
144,0,6,2319.9985547945207,6.236555254823981
145,1,6,2319.9985547945207,6.236555254823981
146,2,6,2319.9985547945207,6.236555254823981
147,3,6,2319.9985547945207,6.236555254823981
148,4,6,2319.9985547945207,6.236555254823981
149,5,6,2319.9985547945207,6.236555254823981
150,6,6,2065.9085547945206,5.553517620415378
151,7,6,2065.9085547945206,5.553517620415378
152,8,6,1819.7985547945207,4.891931598910002
153,9,6,1819.7985547945207,4.891931598910002
154,10,6,1819.7985547945207,4.891931598910002
155,11,6,1819.7985547945207,4.891931598910002
156,12,6,1819.7985547945207,4.891931598910002
157,13,6,1819.7985547945207,4.891931598910002
158,14,6,2073.8885547945206,5.574969233318604
159,15,6,2073.8885547945206,5.574969233318604
160,16,6,2319.9985547945207,6.236555254823981
161,17,6,2319.9985547945207,6.236555254823981
162,18,6,2319.9985547945207,6.236555254823981
163,19,6,2319.9985547945207,6.236555254823981
164,20,6,2319.9985547945207,6.236555254823981
165,21,6,2319.9985547945207,6.236555254823981
166,22,6,2319.9985547945207,6.236555254823981
167,23,6,2319.9985547945207,6.236555254823981
