step,hour,day,total_energy,avg_energy
0,0,0,2317.7485547945207,6.230506867727207
1,1,0,2317.7485547945207,6.230506867727207
2,2,0,2317.7485547945207,6.230506867727207
3,3,0,2317.7485547945207,6.230506867727207
4,4,0,2317.7485547945207,6.230506867727207
5,5,0,2317.7485547945207,6.230506867727207
6,6,0,2070.1885547945208,5.565022996759464
7,7,0,2070.1885547945208,5.565022996759464
8,8,0,1820.4685547945205,4.8937326741788185
9,9,0,1820.4685547945205,4.8937326741788185
10,10,0,1820.4685547945205,4.8937326741788185
11,11,0,1820.4685547945205,4.8937326741788185
12,12,0,1820.4685547945205,4.8937326741788185
13,13,0,1820.4685547945205,4.8937326741788185
14,14,0,2068.0285547945205,5.55921654514656
15,15,0,2068.0285547945205,5.55921654514656
16,16,0,2317.7485547945207,6.230506867727207
17,17,0,2317.7485547945207,6.230506867727207
18,18,0,2317.7485547945207,6.230506867727207
19,19,0,2317.7485547945207,6.230506867727207
20,20,0,2317.7485547945207,6.230506867727207
21,21,0,2317.7485547945207,6.230506867727207
22,22,0,2317.7485547945207,6.230506867727207
23,23,0,2317.7485547945207,6.230506867727207
