step,hour,day,total_energy,avg_energy
0,0,0,2338.898554794521,6.287361706436884
1,1,0,2338.898554794521,6.287361706436884
2,2,0,2338.898554794521,6.287361706436884
3,3,0,2338.898554794521,6.287361706436884
4,4,0,2338.898554794521,6.287361706436884
5,5,0,2338.898554794521,6.287361706436884
6,6,0,2081.8885547945206,5.59647460966269
7,7,0,2081.8885547945206,5.59647460966269
8,8,0,1844.8285547945206,4.959216545146561
9,9,0,1844.8285547945206,4.959216545146561
10,10,0,1844.8285547945206,4.959216545146561
11,11,0,1844.8285547945206,4.959216545146561
12,12,0,1844.8285547945206,4.959216545146561
13,13,0,1844.8285547945206,4.959216545146561
14,14,0,2101.8385547945204,5.6501036419207535
15,15,0,2101.8385547945204,5.6501036419207535
16,16,0,2338.898554794521,6.287361706436884
17,17,0,2338.898554794521,6.287361706436884
18,18,0,2338.898554794521,6.287361706436884
19,19,0,2338.898554794521,6.287361706436884
20,20,0,2338.898554794521,6.287361706436884
21,21,0,2338.898554794521,6.287361706436884
22,22,0,2338.898554794521,6.287361706436884
23,23,0,2338.898554794521,6.287361706436884
