step,hour,day,total_energy,avg_energy
0,0,0,2330.4085547945206,6.264539125791722
1,1,0,2330.4085547945206,6.264539125791722
2,2,0,2330.4085547945206,6.264539125791722
3,3,0,2330.4085547945206,6.264539125791722
4,4,0,2330.4085547945206,6.264539125791722
5,5,0,2330.4085547945206,6.264539125791722
6,6,0,2067.4085547945206,5.557549878479894
7,7,0,2067.4085547945206,5.557549878479894
8,8,0,1788.7185547945205,4.8083832118132275
9,9,0,1788.7185547945205,4.8083832118132275
10,10,0,1788.7185547945205,4.8083832118132275
11,11,0,1788.7185547945205,4.8083832118132275
12,12,0,1788.7185547945205,4.8083832118132275
13,13,0,1788.7185547945205,4.8083832118132275
14,14,0,2051.7185547945205,5.5153724591250555
15,15,0,2051.7185547945205,5.5153724591250555
16,16,0,2330.4085547945206,6.264539125791722
17,17,0,2330.4085547945206,6.264539125791722
18,18,0,2330.4085547945206,6.264539125791722
19,19,0,2330.4085547945206,6.264539125791722
20,20,0,2330.4085547945206,6.264539125791722
21,21,0,2330.4085547945206,6.264539125791722
22,22,0,2330.4085547945206,6.264539125791722
23,23,0,2330.4085547945206,6.264539125791722
