step,hour,day,total_energy,avg_energy
0,0,0,2314.0585547945207,6.220587512888496
1,1,0,2314.0585547945207,6.220587512888496
2,2,0,2314.0585547945207,6.220587512888496
3,3,0,2314.0585547945207,6.220587512888496
4,4,0,2314.0585547945207,6.220587512888496
5,5,0,2314.0585547945207,6.220587512888496
6,6,0,2086.0585547945207,5.607684287082045
7,7,0,2086.0585547945207,5.607684287082045
8,8,0,1828.4385547945205,4.915157405361614
9,9,0,1828.4385547945205,4.915157405361614
10,10,0,1828.4385547945205,4.915157405361614
11,11,0,1828.4385547945205,4.915157405361614
12,12,0,1828.4385547945205,4.915157405361614
13,13,0,1828.4385547945205,4.915157405361614
14,14,0,2056.4385547945208,5.528060631168066
15,15,0,2056.4385547945208,5.528060631168066
16,16,0,2314.0585547945207,6.220587512888496
17,17,0,2314.0585547945207,6.220587512888496
18,18,0,2314.0585547945207,6.220587512888496
19,19,0,2314.0585547945207,6.220587512888496
20,20,0,2314.0585547945207,6.220587512888496
21,21,0,2314.0585547945207,6.220587512888496
22,22,0,2314.0585547945207,6.220587512888496
23,23,0,2314.0585547945207,6.220587512888496
24,0,1,2314.0585547945207,6.220587512888496
25,1,1,2314.0585547945207,6.220587512888496
26,2,1,2314.0585547945207,6.220587512888496
27,3,1,2314.0585547945207,6.220587512888496
28,4,1,2314.0585547945207,6.220587512888496
29,5,1,2314.0585547945207,6.220587512888496
30,6,1,2086.0585547945207,5.607684287082045
31,7,1,2086.0585547945207,5.607684287082045
32,8,1,1828.4385547945205,4.915157405361614
33,9,1,1828.4385547945205,4.915157405361614
34,10,1,1828.4385547945205,4.915157405361614
35,11,1,1828.4385547945205,4.915157405361614
36,12,1,1828.4385547945205,4.915157405361614
37,13,1,1828.4385547945205,4.915157405361614
38,14,1,2056.4385547945208,5.528060631168066
39,15,1,2056.4385547945208,5.528060631168066
40,16,1,2314.0585547945207,6.220587512888496
41,17,1,2314.0585547945207,6.220587512888496
42,18,1,2314.0585547945207,6.220587512888496
43,19,1,2314.0585547945207,6.220587512888496
44,20,1,2314.0585547945207,6.220587512888496
45,21,1,2314.0585547945207,6.220587512888496
46,22,1,2314.0585547945207,6.220587512888496
47,23,1,2314.0585547945207,6.220587512888496
